historicals,companies,#results,clientid,upload
finsbury park.csv,KFC - Finsbury Park,1,finsbury park,0
edmonton.csv,KFC - Edmonton,1,edmonton,0
hornchurch.csv,KFC - Hornchurch,1,hornchurch,0
ebbw vale.csv,KFC - Ebbw Vale,1,ebbw vale,0
dunstable white lion.csv,KFC - Dunstable White Lion,1,dunstable white lion,0
dunstable express.csv,KFC - Dunstable Express,1,dunstable express,0
derby services.csv,KFC - Derby Services,1,derby services,0
cwmbran.csv,KFC - Cwmbran,1,cwmbran,0
croydon london road.csv,KFC - Croydon London Road,1,croydon london road,0
croydon addiscombe.csv,KFC - Croydon Addiscombe,1,croydon addiscombe,0
cross hands.csv,KFC - Cross Hands,1,cross hands,0
cricklewood.csv,KFC - Cricklewood,1,cricklewood,0
corby.csv,KFC - Corby,1,corby,0
colindale.csv,KFC - Colindale,1,colindale,0
cobham.csv,KFC - Cobham,1,cobham,0
coalville.csv,KFC - Coalville,1,coalville,0
earls court.csv,KFC - Earls Court Road,1,earls court,0
wood green restaurant.csv,KFC - Wood Green Restaurant,1,wood green restaurant,0
