historicals,companies,#results,search_terms
swindon delta.csv,KFC - Swindon Delta,1,swindon delta
swindon greenbridge.csv,KFC - Swindon Greenbridge,1,swindon greenbridge
swindon outlet centre.csv,KFC - Swindon Outlet Centre,1,swindon outlet centre
talbot green.csv,KFC - Port Talbot,0,talbot
thorpe park.csv,KFC - Thorpe Park,1,thorpe park
tooting.csv,KFC - Tooting,1,tooting
uttoxeter.csv,KFC - Uttoxeter,1,uttoxeter
wembley.csv,KFC - Wembley,1,wembley
wimbledon.csv,KFC - Wimbledon,1,wimbledon
wincanton.csv,KFC - Wincanton,1,wincanton
wisbeech.csv,,0,
wood green express.csv,KFC - Wood Green Express,1,wood green express
wood green restaurant.csv,KFC - Wood Green Restaurant,1,wood green restaurant
