,historicals,companies,#results,clientid,status
40,dunstable express.csv,KFC - Dunstable Express,1,dunstable express,"Jan 13, 2021	Grant Read	Dunstable Express.csv	Uploaded successfully"
41,dunstable white lion.csv,KFC - Dunstable White Lion,1,dunstable white lion,"Jan 13, 2021	Grant Read	Dunstable White Lion.csv	Uploaded successfully"
42,earls court.csv,KFC - Earls Court Road,1,earls court,"Jan 13, 2021	Grant Read	Earls Court.csv	Uploaded successfully"
43,ebbw vale.csv,KFC - Ebbw Vale,1,ebbw vale,"Jan 13, 2021	Grant Read	Ebbw Vale.csv	Uploaded successfully"
44,edmonton.csv,KFC - Edmonton,1,edmonton,"Jan 13, 2021	Grant Read	Edmonton.csv	Uploaded successfully"
45,finsbury park.csv,KFC - Finsbury Park,1,finsbury park,"Jan 13, 2021	Grant Read	Finsbury Park.csv	Uploaded successfully"
46,frome.csv,KFC - Frome,1,frome,"Jan 13, 2021	Grant Read	Frome.csv	Uploaded successfully"
47,glastonbury.csv,KFC - Glastonbury,1,glastonbury,"Jan 13, 2021	Grant Read	Glastonbury.csv	Uploaded successfully"
48,gloucester road.csv,KFC - Gloucester Road,1,gloucester road,"Jan 13, 2021	Grant Read	Gloucester Road.csv	Uploaded successfully"
49,greenford.csv,KFC - Greenford,1,greenford,"Jan 13, 2021	Grant Read	Greenford.csv	Uploaded successfully"
50,harlesden.csv,KFC - Harlesden,1,harlesden,"Jan 13, 2021	Grant Read	Harlesden.csv	Uploaded successfully"
51,harlow express.csv,KFC - Harlow Express,1,harlow express,"Jan 13, 2021	Grant Read	Harlow Express.csv	Uploaded successfully"
52,harlow retail park.csv,KFC - Harlow Retail Park,1,harlow retail park,"Jan 13, 2021	Grant Read	Harlow Retail Park.csv	Uploaded successfully"
53,harrow road.csv,KFC - Harrow Road,1,harrow road,"Jan 13, 2021	Grant Read	Harrow Road.csv	Uploaded successfully"
54,harrow weald.csv,KFC - Harrow Weald,1,harrow weald,"Jan 13, 2021	Grant Read	Harrow Weald.csv	Uploaded successfully"
55,heathrow.csv,KFC - Heathrow,1,heathrow,"Jan 13, 2021	Grant Read	Heathrow.csv	Uploaded successfully"
56,hendon.csv,KFC - Hendon,1,hendon,"Jan 13, 2021	Grant Read	Hendon.csv	Uploaded successfully"
57,hornchurch.csv,KFC - Hornchurch,1,hornchurch,"Jan 13, 2021	Grant Read	Hornchurch.csv	Uploaded successfully"
58,ipswich bury road.csv,ZZZZZZZZZZZZZZZZ,0,bury road,"Jan 13, 2021	Grant Read	Ipswich Bury Road.csv	Uploaded successfully"
59,ipswich cardinal park.csv,KFC - Ipswich - Cardinal Park,0,cardinal,"Jan 13, 2021	Grant Read	Ipswich Cardinal Park.csv	Uploaded successfully"
60,ipswich felixstowe.csv,KFC - Ipswich - Felixstowe,0,felixstowe,"Jan 13, 2021	Grant Read	Ipswich Felixstowe.csv	Uploaded successfully"
61,ipswich martlesham.csv,KFC - Ipswich - Martlesham,0,martlesham,"Jan 13, 2021	Grant Read	Martlesham.csv	Uploaded successfully"
62,kings lynn.csv,KFC - Kings Lynn,1,kings lynn,"Jan 13, 2021	Grant Read	Kings Lynn.csv	Uploaded successfully"
63,leicester braunstone.csv,KFC - Leicester Braunstone,1,leicester braunstone,"Jan 13, 2021	Grant Read	Leicester Braunstone.csv	Uploaded successfully"
64,leicester fosse park.csv,KFC - Fosse Park,0,fosse,No Uploaded Files
65,leicester hamilton.csv,KFC - Leicester Hamilton,1,leicester hamilton,"Jan 13, 2021	Grant Read	Leicester Hamilton.csv	Uploaded successfully"
66,leicester high street.csv,KFC - Leicester High Street,1,leicester high street,"Jan 13, 2021	Grant Read	Leicester High Street.csv	Uploaded successfully"
67,leicester last straw.csv,KFC - Leicester Last Straw,1,leicester last straw,"Jan 13, 2021	Grant Read	Leicester Last Straw.csv	Uploaded successfully"
68,leicester services.csv,KFC - Leicester Services,1,leicester services,"Jan 13, 2021	Grant Read	Leicester Services.csv	Uploaded successfully"
69,leighton buzzard.csv,KFC - Leighton Buzzard,1,leighton buzzard,"Jan 13, 2021	Grant Read	Leighton Buzzard.csv	Uploaded successfully"
70,llanelli.csv,KFC - Llanelli,1,llanelli,"Jan 13, 2021	Grant Read	Llanelli.csv	Uploaded successfully"
71,long eaton.csv,KFC - Long Eaton,1,long eaton,"Jan 13, 2021	Grant Read	Long Eaton.csv	Uploaded successfully"
72,loughborough.csv,KFC - Loughborough,1,loughborough,"Jan 13, 2021	Grant Read	Loughborough.csv	Uploaded successfully"
73,loughton.csv,KFC - Loughton,1,loughton,"Jan 06, 2021	Grant Read	Loughton.csv	Uploaded successfully"
74,lowestoft.csv,KFC - Lowestoft,1,lowestoft,"Jan 13, 2021	Grant Read	Lowestoft.csv	Uploaded successfully"
75,luton express.csv,KFC - Luton Express,1,luton express,"Jan 13, 2021	Grant Read	Luton Express.csv	Uploaded successfully"
76,luton hatters way.csv,KFC - Luton Hatters Way,1,luton hatters way,"Jan 13, 2021	Grant Read	Luton Hatters Way.csv	Uploaded successfully"
77,luton mall.csv,KFC - Luton Mall,1,luton mall,"Jan 13, 2021	Grant Read	Luton Mall.csv	Uploaded successfully"
78,luton wigmore.csv,KFC - Luton Wigmore,1,luton wigmore,"Jan 13, 2021	Grant Read	Luton Wigmore.csv	Uploaded successfully"
79,melton mowbray.csv,KFC - Melton Mowbray,1,melton mowbray,"Jan 13, 2021	Grant Read	Melton Mowbray.csv	Uploaded successfully"
80,merthyr tydfil.csv,KFC - Merthyr Tydfil,1,merthyr tydfil,"Jan 13, 2021	Grant Read	Merthyr Tydfil.csv	Uploaded successfully"
81,nantgarw.csv,KFC - Nantgarw,1,nantgarw,"Jan 13, 2021	Grant Read	Nantgarw.csv	Uploaded successfully"
82,newport friars walk.csv,KFC - Newport Friars Walk,1,newport friars walk,"Jan 13, 2021	Grant Read	Newport Friars Walk.csv	Uploaded successfully"
