clientId,historicals,companies,#results
swindon outlet centre,swindon outlet centre.csv,KFC - Swindon Outlet Centre,1
talbot,talbot green.csv,KFC - Port Talbot,1
thorpe park,thorpe park.csv,KFC - Thorpe Park,1
tooting,tooting.csv,KFC - Tooting,1
uttoxeter,uttoxeter.csv,KFC - Uttoxeter,1
wembley,wembley.csv,KFC - Wembley,1
wimbledon,wimbledon.csv,KFC - Wimbledon,1
wincanton,wincanton.csv,KFC - Wincanton,1
wisbech,wisbeech.csv,KFC - Wisbech,1
wood green express,wood green express.csv,KFC - Wood Green Express,1
wood green restaurant,wood green restaurant.csv,KFC - Wood Green Restaurant,1
